Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Bushra";4;6;.;5;4;.;.;4;.;.;.;7;8;.;.;.;6;4;..;.;5;.
"Camilla";281;253;240;215;173;143;138;112;113;75;63;61;59;51;49;30;38;37;23;27;28;19
"Carina";47;31;38;31;30;27;11;16;31;16;6;15;10;12;4;6;6;4;4;4;.;.
"Carine";6;4;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Carla";6;4;4;.;6;.;.;..;..;7;9;10;8;6;10;10;11;13;11;7;7;6
"Carmen";7;11;15;18;20;16;20;26;47;30;33;41;37;29;26;25;25;22;16;14;15;12
"Carolina";6;8;6;5;.;.;.;7;6;.;.;.;.;6;.;5;6;.;5;4;.;4
"Caroline";181;173;150;151;113;108;112;96;82;79;96;82;84;67;53;41;55;41;39;36;22;25
"Cassandra";13;11;23;11;23;27;18;21;25;24;21;28;34;21;19;19;14;19;18;10;15;7
"Catharina";12;10;10;9;6;7;5;5;7;.;.;.;.;.;4;.;4;.;.;.;.;.
"Catherine";.;..;..;5;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Cathrin";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Cathrine";58;51;44;48;40;30;25;16;20;19;19;11;4;10;6;4;6;..;.;.;.;.
"Catrine";.;.;.;.;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Cecilia";16;13;21;12;14;13;15;19;17;11;25;12;19;10;18;19;12;13;13;7;7;10
"Cecilie";129;113;90;87;86;61;53;40;40;33;31;31;28;22;26;18;12;12;16;9;11;10
"Celia";7;5;..;.;6;..;5;.;5;5;9;9;.;10;7;7;10;11;5;.;11;7
"Celina";36;47;79;85;140;106;110;115;84;87;102;88;79;57;64;60;62;59;51;55;37;42
"Celine";145;179;185;152;178;166;138;158;151;131;138;138;138;137;131;113;134;117;95;80;94;58
"Cesilie";.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Charlotte";163;153;122;109;88;86;83;62;85;76;58;67;65;52;53;57;57;61;73;48;46;38
"Christel";.;5;5;4;.;.;4;.;4;.;4;.;.;.;.;4;4;.;.;5;.;.
"Christiane";12;15;16;16;8;8;10;14;7;6;10;4;7;5;8;4;5;4;.;.;5;4
"Christin";.;.;.;.;6;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Christina";62;76;60;74;79;74;67;54;86;58;43;43;32;27;35;24;18;16;17;8;10;8
"Christine";90;71;88;81;65;63;43;36;48;30;43;33;35;20;14;21;13;11;7;9;7;8
"Cicilie";.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Cindy";6;7;.;.;.;.;.;6;8;.;9;6;.;4;8;.;.;.;.;.;.;.
"Clara";8;8;8;10;15;10;20;16;13;22;16;17;22;34;20;22;23;21;26;35;37;36
"Claudia";5;..;6;4;.;6;.;6;6;6;.;.;..;.;.;.;.;5;.;.;5;.
"Connie";10;6;.;.;7;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.
"Cornelia";12;17;21;25;22;25;22;33;47;34;43;56;63;65;54;47;54;56;58;57;59;63
"Cristina";5;.;5;.;.;.;4;.;.;4;.;..;.;.;.;.;.;.;.;.;.;.
"Dagmar";4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Dagny";6;.;9;.;5;5;4;.;6;6;.;.;4;7;4;5;.;5;5;8;14;22
"Dagrun";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
