Namn,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Dainius";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Damian";13;8;7;10;8;11;5;7;10;8;.;9;12;7;9;12;10;6;15;4;7;7
"Dan";24;14;16;22;15;14;13;13;6;13;8;4;4;5;8;6;4;6;6;5;.;7
"Dani";7;5;5;4;6;8;6;4;.;12;10;8;.;6;9;8;4;5;5;6;6;5
"Daniel";557;516;479;494;471;467;456;443;402;407;417;418;377;324;303;311;252;269;207;219;186;169
"Danny";4;6;6;5;8;7;6;.;5;4;.;.;9;4;10;.;4;5;.;4;.;.
"Darius";.;.;.;.;.;.;.;.;.;.;.;4;6;.;.;.;6;.;.;8;..;.
"Dariusz";4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"David";111;111;120;116;120;186;177;214;186;174;160;160;139;185;172;156;160;140;128;129;128;107
"Dawid";17;14;17;22;10;13;21;13;12;9;12;8;10;8;13;5;8;8;.;8;10;11
"Dawit";8;7;.;.;.;.;.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.
"Deividas";.;6;.;.;.;.;5;7;.;.;4;.;.;.;.;.;.;.;.;.;.;.
"Dejan";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Denis";8;5;4;9;10;7;7;12;10;7;10;8;9;4;7;13;7;9;4;7;9;10
"Dennis";71;83;84;68;101;77;96;104;107;93;97;92;130;123;105;91;88;111;79;92;78;54
"Didrik";30;45;49;38;57;38;29;49;24;33;33;42;32;32;36;35;28;38;38;38;36;34
"Diego";5;.;4;5;.;.;4;4;.;5;.;.;..;.;..;.;8;7;..;.;.;4
"Dominik";14;10;6;13;10;10;18;10;11;11;9;13;10;11;12;7;5;14;11;6;16;14
"Donatas";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Dragan";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Eddie";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Edgar";.;6;5;5;4;6;.;7;7;7;7;7;4;12;10;..;10;8;19;18;10;7
"Edin";.;.;.;.;5;.;.;.;.;.;6;8;9;13;8;5;9;7;5;10;4;7
"Edmund";.;.;.;.;.;.;.;.;5;8;.;7;.;4;6;8;9;7;8;11;6;7
"Edvard";55;74;58;59;52;77;75;65;74;78;79;89;83;117;118;139;107;96;121;116;127;104
"Edvin";15;14;13;25;19;16;24;23;25;21;31;37;33;38;49;57;65;83;67;97;98;109
"Edward";7;8;18;10;12;13;16;14;14;22;19;17;29;29;37;35;34;25;32;27;21;21
"Edwin";8;7;.;5;4;4;..;7;6;12;4;13;15;12;30;21;23;23;34;23;21;32
"Egidijus";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Egil";17;19;13;12;9;.;13;5;6;8;5;6;6;6;7;9;8;9;.;7;6;7
"Eigil";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Eilert";6;4;.;4;6;5;5;6;.;.;6;.;.;.;.;5;.;5;.;5;9;4
"Eilif";6;4;.;4;.;8;4;9;10;.;5;7;6;8;9;7;8;8;13;18;10;20
"Einar";62;61;65;66;49;59;53;54;40;46;51;59;46;67;57;67;53;74;76;55;61;77
"Eirik";302;330;325;305;231;226;278;272;214;230;207;198;185;199;170;148;119;134;112;88;94;77
"Eivind";145;125;135;102;85;99;85;108;92;74;78;66;81;87;61;44;60;48;47;51;56;48
"Eldar";4;.;.;4;6;.;4;7;5;11;10;8;8;10;16;10;11;20;13;14;7;.
"Eliah";.;.;.;.;.;6;.;.;4;4;15;12;12;11;22;19;21;16;25;22;20;12
"Elias";127;173;234;271;272;332;390;398;459;427;333;345;364;341;323;315;315;338;337;358;314;270
"Elling";5;7;5;.;7;6;.;.;4;.;.;6;4;.;9;9;4;5;7;6;12;.
"Elliot";.;5;.;.;9;6;14;18;25;20;21;27;29;28;32;41;63;57;50;62;46;70
"Emanuel";6;10;6;8;8;11;17;9;9;13;13;17;15;10;14;9;15;22;18;13;14;7
"Emil";279;324;320;367;358;402;407;377;401;443;460;485;533;486;408;321;417;356;376;410;362;347
"Emilian";.;.;.;.;.;.;.;6;13;15;30;39;66;79;65;81;59;71;68;73;48;49
"Emilio";.;4;5;9;.;5;..;.;8;7;11;13;8;8;14;11;19;13;12;10;6;15
"Emir";.;7;.;.;6;8;6;6;5;5;5;11;9;18;15;14;16;11;23;18;17;14
"Emmanuel";7;.;7;6;5;10;5;.;6;7;10;7;12;8;6;10;9;7;9;.;11;6
"Emre";5;8;8;11;5;10;15;14;13;21;16;16;9;19;16;22;16;23;21;22;22;22
"Emrik";.;.;.;.;.;.;.;5;10;13;25;39;55;62;47;90;106;108;113;101;104;93
"Endre";56;57;57;70;55;56;51;49;44;40;32;41;37;37;24;47;29;29;13;16;26;16
"Eric";22;30;22;25;30;19;24;26;19;24;30;13;21;29;28;17;19;13;25;14;14;14
"Erik";273;276;264;255;225;273;223;236;212;232;207;218;216;212;198;206;177;172;188;152;185;128
"Erland";6;10;6;10;6;6;7;.;5;9;5;..;5;4;5;.;.;6;.;.;.;.
"Erlend";219;207;182;160;145;145;151;125;114;97;97;75;81;56;62;53;37;34;35;40;24;25
"Erling";53;45;48;32;37;35;28;41;36;32;31;37;27;22;32;30;36;34;28;22;29;25
"Ernst";4;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;..;.;.;.;.;.
"Esben";.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Eskil";60;67;91;79;100;97;77;111;119;88;118;98;82;91;70;51;49;43;50;43;39;32
"Eskild";14;9;12;14;20;10;12;7;9;9;6;10;4;5;.;.;.;.;4;4;10;7
"Espen";185;148;129;103;122;75;86;56;63;38;34;36;18;22;13;15;17;21;15;16;13;10
"Esten";6;9;.;.;..;5;5;.;.;.;4;4;4;.;.;.;.;.;.;.;.;.
"Evald";.;.;.;.;.;.;.;.;.;.;.;.;.;4;.;.;.;.;.;4;.;.
"Evaldas";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Even";212;181;191;196;163;162;146;199;246;177;161;196;180;168;174;158;163;189;169;178;171;174
"Eystein";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Eyvind";.;..;.;.;.;.;.;.;.;.;.;.;.;.;.;5;.;.;.;.;.;.
"Fabian";50;47;44;48;41;54;54;70;54;57;25;40;31;47;44;30;33;35;39;25;19;20
"Faisal";6;5;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Falk";.;5;.;5;5;7;8;4;13;13;5;15;7;15;12;12;25;23;14;20;13;18
"Farhad";6;5;8;4;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Felix";30;51;44;45;65;79;76;99;121;114;125;126;105;111;140;150;144;189;185;180;154;167
"Ferdinand";14;14;12;17;14;16;21;31;16;18;29;26;36;30;29;24;23;34;24;21;18;24
"Fernando";.;.;.;.;.;.;4;.;.;.;.;.;.;.;.;4;.;.;.;.;.;.
"Filip";74;78;111;105;96;113;132;148;169;167;161;200;181;189;164;252;190;213;198;215;230;229
"Fillip";.;6;.;6;7;6;9;23;19;31;24;30;35;37;38;45;39;50;43;40;42;43
"Finn";8;9;21;17;17;9;10;12;22;11;24;18;18;12;23;18;27;30;30;27;39;25
"Flemming";.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Florian";9;.;.;4;.;.;8;.;.;.;5;.;4;.;.;.;.;4;4;.;6;.
"Francis";.;.;.;.;5;.;.;.;.;5;.;.;..;.;.;5;4;.;6;.;.;.
"Francisco";.;..;.;.;.;.;.;.;..;.;4;.;.;5;4;.;.;.;.;.;.;.
"Frank";22;16;16;15;11;9;7;6;11;6;8;8;..;6;7;6;7;14;11;6;6;4
"Frans";.;.;5;.;.;6;5;6;4;6;8;4;8;.;.;7;.;.;5;10;8;13
"Fred";.;9;5;5;4;.;.;4;.;.;4;.;.;5;6;6;7;.;7;5;7;4
"Freddy";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Frederik";15;16;15;10;12;12;19;16;9;12;13;8;12;9;9;8;6;5;8;5;5;7
"Fredrick";15;10;11;9;7;10;7;8;.;8;8;.;.;6;4;.;.;.;.;.;.;.
"Fredrik";417;401;405;353;321;357;329;307;258;254;246;245;185;223;198;145;153;152;146;140;120;101
"Fridtjof";4;8;5;6;.;.;9;9;8;6;4;.;.;6;4;6;9;7;6;6;..;.
"Frithjof";4;.;.;.;.;.;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Frits";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Fritz";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;.;.;.
"Frode";13;11;7;11;9;4;6;6;.;5;4;.;.;.;.;.;.;.;.;.;.;.
"Gabriel";56;53;71;78;67;90;95;117;132;143;171;178;174;180;184;159;148;147;139;148;174;123
"Gard";28;60;52;47;50;39;49;22;31;27;25;25;22;22;18;23;9;15;11;17;5;11
"Gaute";40;27;31;31;34;63;29;26;20;28;28;16;20;17;29;11;21;12;12;12;12;16
"Gediminas";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Geir";21;16;18;21;10;13;7;11;.;11;6;.;.;7;5;4;6;4;.;4;.;7
"Georg";29;39;31;35;27;39;27;12;23;25;37;29;33;35;35;54;42;53;56;61;58;57
"George";..;..;6;..;.;.;6;.;6;.;..;4;.;5;.;5;.;8;4;10;7;.
"Gerhard";.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Gert";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Giedrius";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Gintaras";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Gisle";4;5;.;.;.;.;.;.;4;.;.;.;..;.;.;.;.;.;.;.;.;.
"Gjermund";20;10;16;13;9;.;7;8;9;11;7;7;5;6;.;9;5;.;5;4;4;4
"Gjert";4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Glen";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Glenn";27;29;18;19;16;11;14;8;6;7;6;8;.;.;4;.;.;.;.;.;.;.
